Species*,Exp*,Trt*,IrrDate,IrrAmount
bananacol ,COLena,1,19186,7
bananacol ,COLena,1,19187,7
bananacol ,COLena,1,19188,7
bananacol ,COLena,1,19189,7
bananacol ,COLena,1,19190,7
bananacol ,COLena,1,19191,7
bananacol ,COLena,1,19192,7
bananacol ,COLena,1,19193,7
bananacol ,COLena,1,19194,7
bananacol ,COLena,1,19195,7
bananacol ,COLena,1,19196,7
bananacol ,COLena,1,19197,7
bananacol ,COLena,1,19198,7
bananacol ,COLena,1,19199,7
bananacol ,COLena,1,19200,7
bananacol ,COLena,1,19201,7
bananacol ,COLena,1,19202,7
bananacol ,COLena,1,19203,7
bananacol ,COLena,1,19204,7
bananacol ,COLena,1,19205,7
bananacol ,COLena,1,19206,7
bananacol ,COLena,1,19207,7
bananacol ,COLena,1,19208,7
bananacol ,COLena,1,19209,7
bananacol ,COLena,1,19210,7
bananacol ,COLena,1,19211,7
bananacol ,COLena,1,19212,7
bananacol ,COLena,1,19213,7
bananacol ,COLena,1,19214,7
bananacol ,COLena,1,19215,7
bananacol ,COLena,1,19216,7
bananacol ,COLena,1,19217,7
bananacol ,COLena,1,19218,7
bananacol ,COLena,1,19219,7
bananacol ,COLena,1,19220,7
bananacol ,COLena,1,19221,7
bananacol ,COLena,1,19222,7
bananacol ,COLena,1,19223,7
bananacol ,COLena,1,19224,7
bananacol ,COLena,1,19225,7
bananacol ,COLena,1,19226,7
bananacol ,COLena,1,19227,7
bananacol ,COLena,1,19228,7
bananacol ,COLena,1,19229,7
bananacol ,COLena,1,19230,7
bananacol ,COLena,1,19231,7
bananacol ,COLena,1,19232,7
bananacol ,COLena,1,19233,7
bananacol ,COLena,1,19234,7
bananacol ,COLena,1,19235,7
bananacol ,COLena,1,19236,7
bananacol ,COLena,1,19237,7
bananacol ,COLena,1,19238,7
bananacol ,COLena,1,19239,7
bananacol ,COLena,1,19240,7
bananacol ,COLena,1,19241,7
bananacol ,COLena,1,19242,7
bananacol ,COLena,1,19243,7
bananacol ,COLena,1,19244,7
bananacol ,COLena,1,19245,7
bananacol ,COLena,1,19246,7
bananacol ,COLena,1,19247,7
bananacol ,COLena,1,19248,7
bananacol ,COLena,1,19249,7
bananacol ,COLena,1,19250,7
bananacol ,COLena,1,19251,7
bananacol ,COLena,1,19252,7
bananacol ,COLena,1,19253,7
bananacol ,COLena,1,19254,7
bananacol ,COLena,1,19255,7
bananacol ,COLena,1,19256,7
bananacol ,COLena,1,19257,7
bananacol ,COLena,1,19258,7
bananacol ,COLena,1,19259,7
bananacol ,COLena,1,19260,7
bananacol ,COLena,1,19261,7
bananacol ,COLena,1,19262,7
bananacol ,COLena,1,19263,7
bananacol ,COLena,1,19264,7
bananacol ,COLena,1,19265,7
bananacol ,COLena,1,19266,7
bananacol ,COLena,1,19267,7
bananacol ,COLena,1,19268,7
bananacol ,COLena,1,19269,7
bananacol ,COLena,1,19270,7
bananacol ,COLena,1,19271,7
bananacol ,COLena,1,19272,7
bananacol ,COLena,1,19273,7
bananacol ,COLena,1,19274,7
bananacol ,COLena,1,19275,7
bananacol ,COLena,1,19276,7
bananacol ,COLena,1,19277,7
bananacol ,COLena,1,19278,7
bananacol ,COLena,1,19279,7
bananacol ,COLena,1,19280,7
bananacol ,COLena,1,19281,7
bananacol ,COLena,1,19282,7
bananacol ,COLena,1,19283,7
bananacol ,COLena,1,19284,7
bananacol ,COLena,1,19285,7
bananacol ,COLena,1,19286,7
bananacol ,COLena,1,19287,7
bananacol ,COLena,1,19288,7
bananacol ,COLena,1,19289,7
bananacol ,COLena,1,19290,7
bananacol ,COLena,1,19291,7
bananacol ,COLena,1,19292,7
bananacol ,COLena,1,19293,7
bananacol ,COLena,1,19294,7
