Species*,Exp*,Trt*,Label,Weather,CO2,SowingDate,HarvestDate,SoilName*,Cultivar*,IrrigationTrt,MaxIntercept,InitialBio,InitialTT ,InitialFsolar ,NOTE
cocoa,KOKOlatl,1,Santander,KOKOS,400,20175,,Loamy sand4,ICS 95,1,0.95,1,0,0.001,Trt1
cocoap,KOKOapar,2,Apartado Ant.,KOKOAPAR,400,19347,,Loamy sand4,ICS 95,1,0.95,1,0,0.001,Trt2
cocoar,KOKOarauca,3,Arauca,KOKOARAU,400,19333,,Loamy sand4,ICS 95,1,0.95,1,0,0.001,Trt3
cocoac,KOKOcali,4,Cali,KOKOCALI,400,19347,,Loamy sand4,ICS 95,1,0.95,1,0,0.001,Trt4
cocoacl,KOKOcaldas,5,Caldas,KOKOCALDAS,400,20080,,Loamy sand4,ICS 95,1,0.95,1,0,0.001,Trt5
dummy crop,Exp name,1,Dummy label name,Dummy weather,350,95355,,Dummy soil,Dummy cultivar,2,0.95,1,0,0.001,Trt2
